"id","tema","mental","penjelasan"
"24","Jihad","Tiga kekuatan internal","Manusia sukses adalah mereka yang memiliki tiga kekuatan yang ada dalam dirinya yaitu : 'Punya tujuan', 'Bisa berubah', dan 'Bisa mempertahankan perubahan tersebut.' Punya cita-cita yang tinggi adalah wujud dari berpikir besar. Cita-citanya tidak boleh hanya satu, sebab Allah memberikan banyak potensi pada diri manusia, seseorang bisa hebat di banyak bidang. Ia sebagai penulis buku, ia juga hebat sebagai guru, ia juga hebat sebagai pedagang, dst. Bisa berubah artinya, ia mampu meningkatkan dirinya, misalnya dari malas menjadi rajin, dari sholat bolong-bolong menjadi tertib sholat, dari bodoh menjadi pintar, dst. Bisa mempertahankan perubahan misalnya, ketika di ponten sholatnya sudah tertib dan khusuk, maka setelah di rumah kebiasaan itu tidak boleh hilang. Perubahan yang ia capai (disiplin sholat) harus dipertahankan."
"25","Sabar","Sumpah SI 8  “Semua baik dan menjadi alat belajar.”","Mukmin sejati tak pernah menyalahkan orang lain atau keadaan atau alam atau Tuhan. Sebaliknya, mukmin sejati itu yang bersyukur tentang apapun yang terjadi. setiap musibah sebenarnya selalu ada hikmahnya. bahkan Imam Syafii pernah bersyukur dengan adanya neraka, sebab kata beliau, neraka membuatnya takut berbuat dosa. Misalnya kalau kita kecopetan itu artinya ; kita kurang sedekah, atau kita kurang berhati-hati. Maka bagi orang mukmin yang hebat, 'Semua itu baik dan menjadi alat belajar.'"
"26","Sabar","Sumpah SI 9 “Aku bagian dari masyarakat.”","Salah satu tujuan penciptaan adalah menjadi manusia yang bermanfaat, dan tak mungkin kita bisa bermanfaat dengan menjauhi masyarakat. Dari mana kita bisa mendapatkan pahala? Tanpa berinteraksi dengan masyarakat? Itu yang pertama, yang kedua adalah apakah kita bisa hidup tanpa masyarakat? Tanpa berinteraksi dengan orang lain? Tanpa hidup berdampingan dengan mereka ? manusia dirancang sebagai makhluk sosial, maka sudah menjadi kodratnya untuk hidup bersama."
"27","Sabar","Sumpah SI 10 “Aku sedang menulis kitabku sendiri.”","Allah yang maha perkasa saja menciptakan lauhil mahfudz untuk mencatat semua peristiwa. Allah menciptakan Roqib dan Atit sebagai malaikat yang bertugas khusus untuk mencatat kehidupan kita, baik buruknya perbuatan kita, dosa dan pahala yang kita lakukan. Maka mukmin yang serdas pasti meniru dengan membuat catatan hidupnya sendiri, boleh seperti diary, boleh dengan cara lainnya, bebas. Yang jelas kita harus mengawasi hidup kita dengan catatan itu."
"28","Sabar","Empat suara di dalam diri","Suara malaikat, Suara syaithan, Suara kita yang pro dengan malaikat, dan suara kita yang pro syaithan. Di dalam diri kita terdapat empat suara. Suara pertama adalah suara malaikat, ia terletak di hati. Suara yang kedua adalah suara syaithan, ia bersarang di hawa nafsu/di otak bawah manusia, suara ketiga adalah suara diri sendiri yang pro dengan malaikat akal dan hati. Sedangkan suara keempat adalah suara diri kita sendiri yang pro dengan syaithan, hawa nafsu, dan badan kita. Empat suara ini berebut dominasi dalam diri kita. Jadi tubuh kita nih seperti sebuah negara, presidennya otak, perdana mentrinya hati, sedangkan tubuh itu hanyalah budak. Jadi ketika mendengar adzan subuh misalnya ; akal dan hatimu menyuruhmu bangun untuk sholat, tetapi badanmu (mata, kulit, tulang) mengajakmu tidur terus. Seperti sebuah negara normal, ia harus dipimpin oleh presiden, bukannya budak."
"29","Sabar","Kontrol Diri","Manusia yang sukses adalah mereka yang memiliki kemampuan untuk mengendalikan diri, menahan godaan atau distraction yang merusak fokus. Implementasinya sangat luas. Dari yang terkecil misalnya menolak teman yang ngajak ngobrol di kelas, tidak melayani candaan teman di masjid ketika sholat. Sampai urusan besar seperti cita-cita. Misalnya cita-cita kita sebagai penghafal Quran, tapi hanya karena sulit dan bosan kita mudah berpaling dari tujuan utama lalu merubah cita-cita menjadi hanya ingin jadi pedagang. Padahal ia bisa jadi keduanya, yaitu jadi pedagang yang hafal Quran, namun urutannya tetap. Menghafal dulu, baru dagang."
"30","Sabar","Mental Antisipatif (Daya tangkal)","Antispasi adalah daya menangkal masalah. Yaitu kemampuan meramalkan masalah dimasa depan, kemudian dibarengi dengan kemampuan merancang pencegahan, agar masalah itu tidak jadi muncul. Dan juga dibarengi dengan rancangan untuk menanganinya masalah itu seandainya masalah itu benar-benar muncul. Diimplementasikan ke semua urusan, dari yang sederhana misalnya sedia payung sebelum hujan, atau merancang evakuasi ketika terjadi tsunami."
"31","Sabar","Keseimbangan 4 waktu","Untuk mempertahankan prestasi kita harus menyeimbangkan 4 waktu : Time to pray, Time to learn, Time to rest, dan Time to play. Manusia butuh empat waktu dan empat asupan, yaitu waktu untuk beribadah, waktu untuk belajar, waktu untuk bermain, dan waktu untuk beristirahat. Apabila empat waktu ini tercukupi maka terbentuklah keseimbangan yang baik. Ketika kita beribadah kita tidak mengantuk, ketika kita belajar kita tidak bercanda, ketika jam tidur kita tidak scrol-scrol HP, di waktu tamasya kita malah sibuk bekerja."
"32","Sabar","Mental ITMI","Mental ITMI adalah kemampuan untuk menepis mudorotnya teknologi dan berfokus kepada manfaat teknologi. Islamic Technology Mindset Instalation (ITMI) berisi argumentasi logis dan syar’i yang menyampaikan bahwa teknologi itu hanyalah alat. Baik atau buruknya teknologi sangat bergantung kepada sang pembawanya, sama seperti pisau, ditangan perampok ia menjadi alat kejahatan. Tapi ditangan koki ia jadi alat untuk memasak makanan enak. Muslim sejati adalah mereka yang mampu menepis mudorotnya teknologi, dan mampu memanfaatkan teknologi untuk bisnis dan dakwah."
"33","Sabar","Mental menghargai karya sendiri","Kemampuan menghargai karya sendiri, mensyukuri pencapaian, bangga dengan jerih payah sendiri. Mental ini adalah faktor yang penting untuk menjadi manusia yang produktif. Apapun hasil dari ikhtiar yang maksimal harus disyukuri apapun bentuknya. mungkin tidak langsung bagus, tapi kalau kita terus memperbaikinya maka suatu saat pasti akan bagus. Justru kalau kita membenci karya sendiri, malu mengakui karya sendiri, perfeksionis di waktu yang salah, bisa berakibat membunuh produktivitas dan semakin memperparah kepercayaan dirimu. Membenci karya sendiri, selain buruk, itu merupakan perbuatan dosa (kufur nikmat). Menghargai karya sendiri artinya ; bangga dengan hasil capaian, terus mengevaluasi, dan terus menyempurnakannya."
"34","Sabar","Konflik manajemen","Mental yang baik dalam mencegah dan menangani konflik adalah : Tabayun, Muhasabah, dan Isilah. Konflik manajemen adalah kemampuan mencegah dan menghadapi serta menangani konflik dengan baik. Pertama kita harus menghindari konflik, namun apabila memang harus, kita tidak takut berkonflik. Ini seperti prinsip perang kaum muslimin 'kita tidak menginginkan perang, tapi tidak takut berperang kalau diperangi.' Yang kedua adalah kemampuan dalam menangani konflik. dengan tiga langkah, tabayun, muhasabah, dan ishlah. Tabayun adalah memastikan kebenaran informasi, konfirmasikan kepada pengucap asli, jangan berpegang kepada 'Katanya' atau yang lebih buruk lagi 'Asumsi'. Muhasabah adalah mencari kesalahan diri sendiri, dan Ishlah adalah berbaikan. Idealnya semua konflik harus diakhiri dengan berbaikan, kembali berhubungan dengan baik. Bukan saling mengalahkan dan mematikan."
